crashid,state,month,year,dayweek,time,crashtype,numberfatalities,businvolvement,heavyrigidtruckinvolvement,articulatedtruckinvolvement,speedlimit,nationalremotenessareas,sa4name2016,nationallganame2017,nationalroadtype,christmasperiod,easterperiod,dayofweek,timeofday
20205093,WA,10,2020,Friday,19.45,Single,1,No,No,No,110,,,,,No,No,Weekend,Night
20205008,WA,10,2020,Sunday,23.49,Single,1,No,No,No,110,,,,,No,No,Weekend,Night
20205050,WA,10,2020,Sunday,10.30,Single,1,No,No,No,100,,,,,No,No,Weekend,Day
20201127,NSW,10,2020,Saturday,17.30,Single,1,No,No,No,100,Major Cities of Australia,Sydney - Outer South West,Wollondilly,Access road,No,No,Weekend,Day
20202001,Vic,10,2020,Saturday,17.15,Single,1,-9,-9,-9,100,Inner Regional Australia,Melbourne - North East,Whittlesea (C),Arterial Road,No,No,Weekend,Day
20207010,NT,10,2020,Saturday,12.16,Multiple,2,No,No,No,80,Outer Regional Australia,Darwin,Litchfield (M),Arterial Road,No,No,Weekend,Day
20203107,Qld,10,2020,Saturday,15.00,Multiple,1,No,No,No,80,Major Cities of Australia,Brisbane - South,Brisbane (C),Sub-arterial Road,No,No,Weekend,Day
20206005,Tas,10,2020,Saturday,17.51,Multiple,1,No,No,No,100,Outer Regional Australia,Hobart,Sorell (M),National or State Highway,No,No,Weekend,Day
20205045,WA,10,2020,Thursday,12.56,Single,1,No,No,No,80,,,,,No,No,Weekday,Day
20205027,WA,10,2020,Wednesday,14.52,Single,1,No,No,No,110,,,,,No,No,Weekday,Day
20207008,NT,10,2020,Thursday,22.06,Multiple,1,No,No,No,60,Remote Australia,Northern Territory - Outback,Alice Springs (T),National or State Highway,No,No,Weekday,Night
20205082,WA,10,2020,Tuesday,16.07,Multiple,1,Yes,No,No,50,,,,,No,No,Weekday,Day
20203059,Qld,10,2020,Wednesday,10.00,Single,1,No,No,No,100,Inner Regional Australia,Wide Bay,Gympie (R),National or State Highway,No,No,Weekday,Day
20203132,Qld,10,2020,Friday,8.00,Single,1,No,No,No,100,Very Remote Australia,Queensland - Outback,Cook (S),Collector Road,No,No,Weekday,Day
20203060,Qld,10,2020,Wednesday,6.00,Multiple,1,No,No,No,80,Inner Regional Australia,Sunshine Coast,Sunshine Coast (R),Sub-arterial Road,No,No,Weekday,Day
20201075,NSW,10,2020,Wednesday,10.40,Single,1,No,No,No,80,Inner Regional Australia,Central Coast,Central Coast,Collector Road,No,No,Weekday,Day
20207004,NT,10,2020,Tuesday,6.55,Multiple,2,No,No,No,50,Outer Regional Australia,Darwin,Darwin (C),Collector Road,No,No,Weekday,Day
20202057,Vic,10,2020,Friday,15.30,Multiple,2,-9,-9,-9,100,Inner Regional Australia,Latrobe - Gippsland,South Gippsland (S),Access road,No,No,Weekday,Day
20203128,Qld,10,2020,Monday,15.00,Multiple,1,No,No,Yes,100,Outer Regional Australia,Queensland - Outback,Mareeba (S),Sub-arterial Road,No,No,Weekday,Day
20203157,Qld,10,2020,Thursday,8.00,Multiple,1,No,No,No,-9,Inner Regional Australia,Central Queensland,Livingstone (S),Sub-arterial Road,No,No,Weekday,Day
20201215,NSW,10,2020,Wednesday,17.22,Single,1,No,No,No,80,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road,No,No,Weekday,Day
20204025,SA,10,2020,Monday,12.45,Single,1,No,No,No,80,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Sub-arterial Road,No,No,Weekday,Day
20202160,Vic,10,2020,Monday,16.22,Multiple,1,-9,-9,-9,100,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges (S),Arterial Road,No,No,Weekday,Day
20202094,Vic,10,2020,Wednesday,17.22,Multiple,1,-9,-9,-9,-9,Major Cities of Australia,Geelong,Greater Geelong (C),Local Road,No,No,Weekday,Day
20203133,Qld,10,2020,Friday,11.00,Single,1,No,No,No,90,Inner Regional Australia,Logan - Beaudesert,Logan (C),Sub-arterial Road,No,No,Weekday,Day
20202135,Vic,10,2020,Friday,8.40,Single,1,-9,-9,-9,-9,Inner Regional Australia,Hume,Mitchell (S),National or State Highway,No,No,Weekday,Day
20203196,Qld,10,2020,Tuesday,17.00,Multiple,1,No,No,No,100,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay (R),Sub-arterial Road,No,No,Weekday,Day
20202076,Vic,10,2020,Monday,15.50,Multiple,2,-9,Yes,-9,70,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges (S),Arterial Road,No,No,Weekday,Day
20203088,Qld,10,2020,Thursday,11.00,Single,1,No,No,No,100,Very Remote Australia,Queensland - Outback,Cloncurry (S),National or State Highway,No,No,Weekday,Day
20203041,Qld,10,2020,Friday,16.00,Single,1,No,No,No,-9,Major Cities of Australia,Logan - Beaudesert,Logan (C),Sub-arterial Road,No,No,Weekday,Day
20201180,NSW,10,2020,Wednesday,10.00,Multiple,1,No,No,No,100,Inner Regional Australia,Richmond - Tweed,Kyogle,Arterial Road,No,No,Weekday,Day
20207002,NT,10,2020,Monday,8.10,Multiple,1,Yes,No,No,60,Outer Regional Australia,Darwin,Litchfield (M),Arterial Road,No,No,Weekday,Day
