Crash ID,Road User,Gender,Age,Age Group
20203092,Motorcycle rider,Male,38,26_to_39
20201114,Driver,Male,25,17_to_25
20202090,Motorcycle rider,Male,36,26_to_39
20202156,Driver,Male,25,17_to_25
20205025,Driver,Male,48,40_to_64
20205030,Driver,Male,41,40_to_64
20208005,Passenger,Female,16,0_to_16
20203027,Driver,Male,29,26_to_39
20205008,Passenger,Female,1,0_to_16
20203147,Passenger,Female,90,75_or_older
20207022,Pedestrian,Male,37,26_to_39
20205066,Driver,Male,18,17_to_25
20205093,Driver,Male,24,17_to_25
20205089,Driver,Male,17,17_to_25
20201170,Motorcycle rider,Male,31,26_to_39
20201052,Driver,Male,17,17_to_25
20201127,Passenger,Male,39,26_to_39
20207010,Driver,Male,17,17_to_25
20207010,Driver,Female,24,17_to_25
20204017,Driver,Male,81,75_or_older
20206005,Passenger,Female,52,40_to_64
20202063,Driver,Male,87,75_or_older
20202001,Driver,Female,36,26_to_39
20205009,Pedestrian,Male,25,17_to_25
20205009,Pedestrian,Female,19,17_to_25
20205054,Driver,Male,59,40_to_64
20205050,Driver,Male,60,40_to_64
20203107,Motorcycle pillion passenger,Female,27,26_to_39
20203153,Motorcycle rider,Male,47,40_to_64
20203089,Motorcycle rider,Male,34,26_to_39
20201035,Motorcycle rider,Male,32,26_to_39
20207004,Driver,Male,56,40_to_64
20205106,Driver,Male,65,65_to_74
20205058,Driver,Male,25,17_to_25
20201075,Motorcycle rider,Male,81,75_or_older
20202057,Passenger,Male,8,0_to_16
20203088,Driver,Male,75,75_or_older
20201166,Driver,Female,29,26_to_39
20201071,Motorcycle rider,Male,18,17_to_25
20203093,Driver,Female,39,26_to_39
20204047,Motorcycle rider,Male,19,17_to_25
20201067,Driver,Male,38,26_to_39
20201085,Passenger,Female,37,26_to_39
20207004,Motorcycle rider,Female,36,26_to_39
20203157,Driver,Female,32,26_to_39
20202057,Driver,Female,33,26_to_39
20203163,Passenger,Female,53,40_to_64
20203041,Motorcycle rider,Male,39,26_to_39
20204023,Passenger,Female,35,26_to_39
20203057,Pedestrian,Male,59,40_to_64
20201196,Motorcycle rider,Male,59,40_to_64
20205082,Pedal cyclist,Male,54,40_to_64
20203132,Motorcycle rider,Male,45,40_to_64
20201215,Motorcycle rider,Male,41,40_to_64
20203196,Driver,Female,43,40_to_64
20202135,Driver,Male,43,40_to_64
20203009,Pedestrian,Female,47,40_to_64
20203017,Motorcycle rider,Male,40,40_to_64
